               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036654,           0.0079145,            0.014956,             0.79477,             0.87405,             0.94644,             0.57798,            0.021428,           0.0041514,           0.0040156,            0.006535,            0.006535,            0.006535
                  37,            0.037003,            0.008092,             0.01256,             0.99444,             0.80737,             0.93423,             0.51679,            0.021097,           0.0040969,           0.0037678,            0.006436,            0.006436,            0.006436
                  38,            0.034225,           0.0079625,            0.015243,             0.94653,             0.82165,             0.94559,             0.67718,            0.020425,           0.0038975,           0.0038756,            0.006337,            0.006337,            0.006337
                  39,            0.035937,           0.0072742,           0.0084972,             0.76833,              0.8955,             0.94857,              0.7411,            0.021799,           0.0037293,           0.0032682,            0.006238,            0.006238,            0.006238
                  40,            0.035668,           0.0078761,            0.010888,             0.77863,              0.9361,             0.95128,             0.69159,            0.024207,           0.0036229,           0.0031111,            0.006139,            0.006139,            0.006139
                  41,            0.029944,           0.0079726,            0.011143,             0.62799,             0.91176,             0.95349,             0.42405,            0.024758,           0.0034976,           0.0029269,             0.00604,             0.00604,             0.00604
                  42,            0.034841,           0.0073128,            0.012081,             0.99034,             0.77941,             0.87648,             0.49839,            0.026479,           0.0035046,           0.0032606,            0.005941,            0.005941,            0.005941
                  43,            0.036927,           0.0076916,            0.014371,             0.92687,             0.87834,              0.9627,             0.45323,            0.022723,           0.0036473,            0.004144,            0.005842,            0.005842,            0.005842
                  44,            0.032361,           0.0069331,            0.010711,             0.91809,              0.8497,             0.94776,             0.71807,            0.021007,           0.0035491,           0.0069713,            0.005743,            0.005743,            0.005743
                  45,            0.033076,           0.0066459,            0.010396,             0.95826,             0.84574,             0.95059,             0.72032,            0.019364,           0.0035832,           0.0066797,            0.005644,            0.005644,            0.005644
                  46,            0.032801,            0.008284,           0.0098761,             0.95651,             0.83693,             0.94188,              0.5095,            0.023142,           0.0034931,           0.0042602,            0.005545,            0.005545,            0.005545
                  47,             0.03338,           0.0074052,            0.012878,             0.95161,             0.88796,             0.95953,             0.53879,            0.022957,           0.0032379,           0.0037074,            0.005446,            0.005446,            0.005446
                  48,            0.031905,           0.0075505,            0.010212,             0.93579,             0.94217,             0.96798,             0.71561,            0.018887,           0.0032184,            0.003637,            0.005347,            0.005347,            0.005347
                  49,            0.031767,           0.0068201,            0.010155,              0.8557,             0.91737,             0.93549,             0.64189,            0.019754,           0.0032449,           0.0035113,            0.005248,            0.005248,            0.005248
                  50,            0.030575,           0.0076622,           0.0093631,             0.89099,             0.95682,             0.95901,             0.71604,            0.019394,           0.0031299,           0.0034887,            0.005149,            0.005149,            0.005149
                  51,            0.030911,           0.0075521,            0.010733,             0.74975,             0.91737,              0.9441,             0.63117,            0.018659,           0.0032362,            0.003552,             0.00505,             0.00505,             0.00505
                  52,            0.030123,           0.0070406,            0.014318,             0.84731,             0.93235,             0.94543,             0.72855,            0.017685,           0.0033312,           0.0045626,            0.004951,            0.004951,            0.004951
                  53,            0.027817,           0.0075217,            0.011892,             0.84741,             0.89998,             0.94232,             0.71711,            0.018063,           0.0033269,           0.0051145,            0.004852,            0.004852,            0.004852
                  54,            0.028821,           0.0062519,           0.0096373,             0.71246,             0.96046,             0.89606,              0.5492,            0.022107,           0.0033413,           0.0064825,            0.004753,            0.004753,            0.004753
                  55,            0.027796,           0.0061298,           0.0095794,             0.83045,             0.93698,             0.92914,             0.66504,             0.01936,           0.0033924,           0.0039961,            0.004654,            0.004654,            0.004654
                  56,            0.030795,           0.0072939,            0.012292,             0.89725,              0.8314,             0.93332,             0.62976,            0.019812,           0.0032779,           0.0035545,            0.004555,            0.004555,            0.004555
                  57,            0.026254,           0.0076175,            0.011296,             0.87985,             0.90751,             0.93794,             0.62151,            0.019472,           0.0032017,           0.0047556,            0.004456,            0.004456,            0.004456
